Datum,Omschrijving,Bedrag,Type,Categorie,Rekening,Tegenrekening,Tags
2024-09-01,Salaris september,2800.00,Credit,Werk,NL91ABNA0417164300,,
2024-09-01,Huur september,-1200.00,Debit,Wonen,NL91ABNA0417164300,NL52INGB0001234567,
2024-09-02,Albert Heijn Dirkshorn,-87.43,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-09-03,NS Dal Vrij abonnement,-100.00,Debit,Transport,NL91ABNA0417164300,NS GROEP NV,
2024-09-03,Netflix Nederland,-15.99,Debit,Vrije tijd,NL91ABNA0417164300,NETFLIX IRELAND,
2024-09-04,Telfort Internet,-45.00,Debit,Wonen,NL91ABNA0417164300,KPN NEDERLAND,
2024-09-05,AH Tanken Schagen,-72.50,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-09-06,Jumbo Supermarkt,-95.28,Boodschappen,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-09-07,V&M Dirkshorn,-25.80,Debit,Restaurants,NL91ABNA0417164300,VAN DER VALK,
2024-09-08,Plus Supermarkt,-78.45,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-09-09,Gemeentebelastingen,-215.00,Debit,Belastingen,NL91ABNA0417164300,GEMEENTE SCHAGEN,
2024-09-10,Zorgverzekering VGZ,-127.50,Debit,Zorg,NL91ABNA0417164300,COÖPERATIE VGZ,
2024-09-11,Apotheek Dirkshorn,-12.50,Debit,Zorg,NL91ABNA0417164300,APOTHEEK DIRKSHORN,
2024-09-12,Albert Heijn Schagen,-112.30,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-09-13,McDonald's Alkmaar,-8.95,Debit,Restaurants,NL91ABNA0417164300,MCDONALDS,
2024-09-14,Primera Dirkshorn,-4.50,Debit,Vrije tijd,NL91ABNA0417164300,PRIMERA,
2024-09-15,Kapper Dirkshorn,-25.00,Debit,Vrije tijd,NL91ABNA0417164300,KAPPER DIRKSHORN,
2024-09-16,AH Tanken Alkmaar,-65.20,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-09-17,Bol.com bestelling,-45.99,Debit,Vrije tijd,NL91ABNA0417164300,BOL.COM,
